location,Latitude,Longitude
"Massachusetts, Framingham, 1701",42.312421,-71.424536
"Massachusetts, Framingham, 1702",42.312421,-71.424536
"Massachusetts, Hopkinton, 1748",42.25264,-71.583695
"Massachusetts, Wayland, 1778",42.320547,-71.3418
"Massachusetts, Douglas, 1516",42.05426,-71.73951
"Massachusetts, Northbridge, 1534",42.15148,-71.64951
"Massachusetts, Lincoln, 1773",42.42593,-71.30395
"Massachusetts, Northbridge, 1588",42.15148,-71.64951
"Massachusetts, Oxford, 1537",42.181121,-71.89943
"Massachusetts, Lexington, 2420",42.435712,-71.212113
"Massachusetts, Winchester, 1890",42.454545,-71.148779
"Massachusetts, Bedford, 1730",42.49065,-71.27617
"Massachusetts, Woburn, 1801",42.51726,-71.159413
"Massachusetts, Lexington, 2421",42.447449,-71.245577
"Massachusetts, Waltham, 2451",42.398588,-71.24505
"Massachusetts, Waltham, 2453",42.365396,-71.23165
"Massachusetts, Waltham, 2452",42.394319,-71.218049
"Massachusetts, Tewksbury, 1876",42.61065,-71.23422
"Massachusetts, Natick, 1760",42.302212,-71.333381
"Massachusetts, Wellesley, 2482",42.294546,-71.299201
"Massachusetts, Wellesley, 2481",42.294546,-71.299201
"Massachusetts, Methuen, 1844",42.73184,-71.186915
"New Hampshire, Windham, 3087",42.831356,-71.337842
"New Hampshire, Salem, 3079",43.083087,-70.81038
"Massachusetts, Blackstone, 1504",42.01788,-71.54117
"Rhode Island, Woonsocket, 2895",41.994191,-71.498568
"Rhode Island, North Smithfield, 2896",41.940608,-71.399089
"Rhode Island, Burrillville, 2830",41.97239,-71.648502
"Rhode Island, Burrillville, 2859",41.96415,-71.723316
"Rhode Island, Burrillville, 2858",41.962303,-71.647542
"Massachusetts, Hopedale, 1747",42.127515,-71.533138
"Rhode Island, Burrillville, 2839",41.941715,-71.637581
"Massachusetts, Mendon, 1756",42.100352,-71.546961
"New Hampshire, Plaistow, 3053",43.083087,-70.81038
"Connecticut, East Haddam, 6415",41.475478,-72.389729
"Connecticut, Salem, 6420",41.527441,-72.269141
"Connecticut, Windham, 6266",41.693914,-72.137843
"Connecticut, Windham, 6256",41.693914,-72.137843
"Connecticut, Lyme, 6371",41.295893,-72.257817
"Connecticut, Windham, 6280",41.693914,-72.137843
"Rhode Island, Glocester, 2814",41.940608,-71.399089
"Connecticut, Killingly, 6241",41.83871,-71.869238
"Rhode Island, Cranston, 2921",41.785289,-71.462199
"Rhode Island, East Providence, 2914",41.813429,-71.363348
"Rhode Island, North Providence, 2911",41.8501,-71.46617
"Massachusetts, North Attleboro, 2760",41.964376,-71.326448
"Rhode Island, Pawtucket, 2861",41.872439,-71.372093
"Rhode Island, Cumberland, 2864",41.939838,-71.398504
